id,variant,approach,evidence_level,split,attack,epsilon,fall_recall,far,tp,fn,fp,tn,auroc,threshold,f20_met,source_path,source_type,notes,plot_label,plotted
D6a,post-hoc FAR<=0.20,Static dual-tail rescue/budget objective,test post-hoc FAR sweep,test,pgd,0.03,0.488889,0.197802,22,23,90,365,0.767912,0.237127,false,results/safety_guided_defense/variantH_dual_tail_budget/H1/seed42/test_eval/H_H1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D6a-sweep,true
D6b,fixed,Rebalanced dual-tail with fall-rescue floor,test fixed/argmax,test,pgd,0.03,0.555556,0.149451,25,20,68,387,,,false,results/safety_guided_defense/variantH_dual_tail_budget/optionA_rebalanced/A1/seed42/test_eval/A1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D6b-fixed,true
D6b,post-hoc FAR<=0.20,Rebalanced dual-tail with fall-rescue floor,test post-hoc FAR sweep,test,pgd,0.03,0.688889,0.195604,31,14,89,366,0.824225,0.177115,false,results/safety_guided_defense/variantH_dual_tail_budget/optionA_rebalanced/A1/seed42/test_eval/A1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D6b-sweep,true
D7,fixed,Dual-specialist gate,test fixed/argmax,test,pgd,0.03,0.688889,0.228571,31,14,104,351,,,false,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/R_G1maxrec_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D7-fixed,true
D7,post-hoc FAR<=0.20,Dual-specialist gate,test post-hoc FAR sweep,test,pgd,0.03,0.644444,0.193407,29,16,88,367,0.832772,0.087811,false,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/B_G1lowFA_pgd_probabilities_test_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D7-sweep,true
D8a,AFAC-recall fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,pgd,0.03,0.666667,0.186813,30,15,85,370,,,false,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D8a-recall,true
D8a,AFAC-score fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,pgd,0.03,0.422222,0.12967,19,26,59,396,,,false,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D8a-score,true
D8a,AFAC-lowFA fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,pgd,0.03,0.133333,0.079121,6,39,36,419,,,false,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D8a-lowFA,true
D8b,AFAC-score post-hoc FAR<=0.20,Adaptive False-Alarm Controller (AFAC),test post-hoc FAR sweep,test,pgd,0.03,0.8,0.2,36,9,91,364,0.843907,0.153246,true,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv. Only held-out test post-hoc operating point in IA.3 that reaches F20.,D8b AFAC-score,true
D9,missing artifact,TRADES-style consistency,missing artifact,,,,,,,,,,,,false,,inventory_gap,Inventory row marks this approach as not found. No usable local TRADES-named standalone result artifact found.,D9 missing,false
D10,validation-only FAR<=0.20,GAIRAT-style boundary reweighting,validation-only FAR sweep,val,pgd,0.03,0.886364,0.190265,39,5,86,366,0.871229,0.075261,true,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D10 val,true
D11a,validation-only FAR<=0.20,SAT-style selective filtering (Stage-1/BASAT pilot),validation-only FAR sweep,val,pgd,0.03,0.909091,0.190265,40,4,86,366,0.868966,0.051834,true,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D11a val,true
D11b,validation-only FAR<=0.20,SAT-style selective filtering,validation-only FAR sweep,val,pgd,0.03,0.886364,0.188053,39,5,85,367,0.872788,0.048495,true,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D11b val,true
D12,validation-only FAR<=0.20,BiLSTM representation pivot,validation-only FAR sweep,val,pgd,0.03,0.25,0.183628,11,33,83,369,0.725714,0.160894,false,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D12 val,true
