id,plot_label,variant,approach,evidence_level,split,tp,fp,fn,tn,fall_recall,far,f20_met,source_type,source_path,notes
D7,D7-sweep,post-hoc FAR<=0.20,Dual-specialist gate,test post-hoc FAR sweep,test,29,88,16,367,0.644444,0.193407,false,per_window_score_csv,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/B_G1lowFA_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8a,D8a-recall,AFAC-recall fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,30,85,15,370,0.666667,0.186813,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8a,D8a-score,AFAC-score fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,19,59,26,396,0.422222,0.12967,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8a,D8a-lowFA,AFAC-lowFA fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,6,36,39,419,0.133333,0.079121,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8b,D8b AFAC-score,AFAC-score post-hoc FAR<=0.20,Adaptive False-Alarm Controller (AFAC),test post-hoc FAR sweep,test,36,91,9,364,0.8,0.2,true,per_window_score_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv. Only held-out test post-hoc operating point in IA.3 that reaches F20.
D9,D9 missing,missing artifact,TRADES-style consistency,missing artifact,,,,,,,,false,inventory_gap,,Inventory row marks this approach as not found. No usable local TRADES-named standalone result artifact found.
D10,D10 val,validation-only FAR<=0.20,GAIRAT-style boundary reweighting,validation-only FAR sweep,val,39,86,5,366,0.886364,0.190265,true,per_window_score_csv,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D11a,D11a val,validation-only FAR<=0.20,SAT-style selective filtering (Stage-1/BASAT pilot),validation-only FAR sweep,val,40,86,4,366,0.909091,0.190265,true,per_window_score_csv,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D11b,D11b val,validation-only FAR<=0.20,SAT-style selective filtering,validation-only FAR sweep,val,39,85,5,367,0.886364,0.188053,true,per_window_score_csv,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D12,D12 val,validation-only FAR<=0.20,BiLSTM representation pivot,validation-only FAR sweep,val,11,83,33,369,0.25,0.183628,false,per_window_score_csv,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
