output,type,title,primary_file,companion_note,generation_script,primary_file_exists,companion_note_exists,generation_script_exists,thesis_contribution,clinical_safety_relevance,use_in_thesis,claim_boundary
Table 6,Index Table,Thesis Output Index / Evidence Contribution Table,results/thesis_table_6_output_index.csv,notes/thesis_table_6_output_index.md,scripts/create_thesis_table_6_output_index.py,yes,yes,yes,"Indexes thesis-ready tables, figures, notes, scripts, and evidence contributions generated by the demo.","Keeps the safety-proxy evidence set navigable and separates quantitative results, figures, metadata limitations, and conceptual diagrams.",Use as the output navigation table and appendix-style artifact index for the experiment.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Audit 1,Dataset Audit Note,UT-HAR Dataset Metadata Audit,notes/ut_har_dataset_metadata_audit.md,NA,NA,yes,not applicable,not applicable,"Audits whether the local UT-HAR files support event-level timing, subject, trial, or recording metadata.","Explains why the current demo can compute window-level safety-proxy metrics but cannot compute event-level metrics such as time-to-detection, delayed detection, long-lie proxy, or false alarms per hour/day.",Use as the dataset limitation and future collaboration justification note.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 7,Table,Safety Metric Availability and Data Requirement Table,results/thesis_table_7_metric_availability.csv,notes/thesis_table_7_metric_availability.md,scripts/create_thesis_table_7_metric_availability.py,yes,yes,yes,Separates metrics computable from current UT-HAR window-level outputs from metrics requiring richer event-level metadata.,Prevents overclaiming by identifying which clinical-safety metrics are not computable with the current dataset.,Use as the metric feasibility and data-requirement table for future dataset selection and collaboration planning.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 8,Table,High-Risk Multiclass Error Taxonomy,results/thesis_table_8_high_risk_multiclass_error_taxonomy.csv,notes/thesis_table_8_high_risk_multiclass_error_taxonomy.md,scripts/create_thesis_table_8_high_risk_multiclass_error_taxonomy.py,yes,yes,yes,Identifies fall-relevant seven-class error pathways behind missed falls and false fall alarms.,Shows which non-fall classes absorb true fall windows and which non-fall activities become false fall alarms.,Use as the multiclass explanation behind the binary fall-vs-non-fall safety-proxy results.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 6,Figure,Seven-Class Confusion Matrix Figure,figures/thesis_figure_6_seven_class_confusion_matrices.png,notes/thesis_figure_6_seven_class_confusion_matrices.md,scripts/create_thesis_figure_6_seven_class_confusion_matrices.py,yes,yes,yes,"Visualizes full seven-class confusion matrices for clean, attacked, and defended conditions.",Complements Table 8 by making high-risk multiclass confusion pathways visible.,Use as the visual multiclass error-analysis figure.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 9,Table,Robustness Failure Threshold Table,results/thesis_table_9_robustness_failure_thresholds.csv,notes/thesis_table_9_robustness_failure_thresholds.md,scripts/create_thesis_table_9_robustness_failure_thresholds.py,yes,yes,yes,Identifies the first observed epsilon where FGSM or PGD crosses predefined window-level robustness failure thresholds.,"Translates epsilon sweeps into safety-proxy threshold language, such as severe missed-fall behavior, recall collapse, prediction instability, and high false-alarm burden.","Use to argue that adversarial impact should be reported as safety-proxy failure thresholds, not only aggregate accuracy loss.","Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 7,Figure,Failure Threshold / Robustness Collapse Plot,figures/thesis_figure_7_failure_threshold_plot.png,notes/thesis_figure_7_failure_threshold_plot.md,scripts/create_thesis_figure_7_failure_threshold_plot.py,yes,yes,yes,Visualizes FGSM and PGD robustness-collapse behavior across epsilon values.,"Shows missed-fall, recall, false-alarm, and prediction-instability threshold crossings.",Use as the visual counterpart to Table 9.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 8,Conceptual Figure,Safety Translation Pipeline Diagram,figures/thesis_figure_8_safety_translation_pipeline.png,notes/thesis_figure_8_safety_translation_pipeline.md,scripts/create_thesis_figure_8_safety_translation_pipeline.py,yes,yes,yes,Summarizes the full safety-translation pipeline from WiFi CSI predictions to window-level safety-proxy metrics and future event-level requirements.,Clearly separates the current window-level contribution from future clinical-safety extensions that require richer metadata.,Use as the conceptual workflow diagram in the methods or thesis contribution section.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 10,Table,Extended Window-Level Diagnostic Safety Metrics,results/thesis_table_10_extended_diagnostic_safety_metrics.csv,notes/thesis_table_10_extended_diagnostic_safety_metrics.md,scripts/create_thesis_table_10_extended_diagnostic_safety_metrics.py,yes,yes,yes,"Extends the safety-proxy analysis beyond recall, precision, F1-score, and balanced accuracy.",Reports additional diagnostic-style safety-proxy metrics and uses NA for undefined ratios when TP is zero.,Use to strengthen the quantitative safety-proxy metric set while avoiding fabricated undefined values.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 9,Figure,Safety Error Burden Composition Across Conditions,figures/thesis_figure_9_safety_error_burden_composition.png,notes/thesis_figure_9_safety_error_burden_composition.md,scripts/create_thesis_figure_9_safety_error_burden_composition.py,yes,yes,yes,"Shows the composition of detected falls, missed falls, false fall alarms, and correct non-falls across conditions.",Makes the clean-to-attack shift visible: attacked conditions lose detected fall windows and increase missed fall burden.,Use as a visual explanation of safety-error burden behind the confusion matrices.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 11,Table,Attack-Induced Safety Risk Amplification Ratios,results/thesis_table_11_attack_induced_safety_risk_amplification.csv,notes/thesis_table_11_attack_induced_safety_risk_amplification.md,scripts/create_thesis_table_11_attack_induced_safety_risk_amplification.py,yes,yes,yes,Quantifies how attacked and defended-attacked conditions amplify safety-relevant error ratios relative to clean baselines.,Highlights attack-induced amplification of missed-fall and false-alarm burden while preserving claim boundaries.,Use as a risk-amplification style summary that connects ML degradation to safety-proxy language.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 10,Figure,High-Risk Multiclass Fall Error Pathways,figures/thesis_figure_10_high_risk_multiclass_fall_error_pathways.png,notes/thesis_figure_10_high_risk_multiclass_fall_error_pathways.md,scripts/create_thesis_figure_10_high_risk_multiclass_fall_error_pathways.py,yes,yes,yes,Simplifies seven-class confusion matrices into fall-relevant error pathways.,Shows where true fall windows go when missed and which non-fall activities become false fall alarms.,Use to connect binary fall-vs-non-fall degradation to original multiclass activity-recognition errors.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 12,Table,Model Confidence and Error Confidence Summary,results/thesis_table_12_model_confidence_error_summary.csv,notes/thesis_table_12_model_confidence_error_summary.md,scripts/create_thesis_table_12_model_confidence_error_summary.py,yes,yes,yes,"Summarizes model-reported confidence for correct predictions, incorrect predictions, missed falls, and false fall alarms.",Shows whether missed-fall errors are low-confidence or high-confidence errors under attack and defense.,Use as the main confidence/error-confidence table for the attacked fall-safety workflow.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 11,Figure,High-Confidence Missed-Fall Error Comparison,figures/thesis_figure_11_high_confidence_missed_fall_comparison.png,notes/thesis_figure_11_high_confidence_missed_fall_comparison.md,scripts/create_thesis_figure_11_high_confidence_missed_fall_comparison.py,yes,yes,yes,"Visualizes missed-fall confidence behavior across clean, attacked, and defended conditions.",Highlights that undefended PGD produces a high-confidence missed-fall failure pattern.,Use as the visual companion to Table 12.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 12,Figure,Confidence-Safety Failure Map,figures/thesis_figure_12_confidence_safety_failure_map.png,notes/thesis_figure_12_confidence_safety_failure_map.md,scripts/create_thesis_figure_12_confidence_safety_failure_map.py,yes,yes,yes,Combines missed fall rate and high-confidence missed-fall rate into a confidence-safety failure map.,"Shows that undefended PGD is the strongest confidence-safety failure case, while defended attacked conditions still miss all falls but with lower high-confidence missed-fall rates.",Use to explain the two-dimensional relationship between missed-fall safety failure and model-reported confidence.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 13,Table,Confidence-Safety Failure Ranking,results/thesis_table_13_confidence_safety_failure_ranking.csv,notes/thesis_table_13_confidence_safety_failure_ranking.md,scripts/create_thesis_table_13_confidence_safety_failure_ranking.py,yes,yes,yes,"Ranks clean, attacked, and defended conditions using a descriptive confidence-safety failure score.",Identifies which conditions combine missed-fall safety failure with high model-reported confidence in the wrong prediction.,Use as the ranked numeric companion to Figure 12.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 13,Figure,Confidence-Safety Failure Ranking Bar Chart,figures/thesis_figure_13_confidence_safety_failure_ranking.png,notes/thesis_figure_13_confidence_safety_failure_ranking.md,scripts/create_thesis_figure_13_confidence_safety_failure_ranking.py,yes,yes,yes,Visualizes the Table 13 confidence-safety failure ranking as a horizontal bar chart.,Makes the ranking of overconfident missed-fall safety failures visually obvious.,Use as the visual companion to Table 13.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Table 14,Table,Matched Attack Defense Effect Summary,results/thesis_table_14_matched_attack_defense_effect_summary.csv,notes/thesis_table_14_matched_attack_defense_effect_summary.md,scripts/create_thesis_table_14_matched_attack_defense_effect_summary.py,yes,yes,yes,Directly compares matched attacked conditions: undefended FGSM vs defended FGSM and undefended PGD vs defended PGD.,Shows that the defended attacked models reduce overconfident missed-fall behavior and false alarms but do not restore fall recall.,Use as the main matched attack-defense effect summary table.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
Figure 14,Figure,Matched Attack Defense Effect Comparison,figures/thesis_figure_14_matched_attack_defense_effect_comparison.png,notes/thesis_figure_14_matched_attack_defense_effect_comparison.md,scripts/create_thesis_figure_14_matched_attack_defense_effect_comparison.py,yes,yes,yes,Visually compares matched attack-defense effects for FGSM and PGD using three panels.,"Shows reductions in high-confidence missed-fall rate, median missed-fall confidence, and false fall alarm count, while noting that missed fall rate remains 1.000000.",Use as the visual companion to Table 14.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
