rank,metric_group,metric_name,currently_computable,support_level,available_data,missing_data,why_it_matters,thesis_use,recommended_reporting_status,claim_boundary
12,Current attack/robustness metric,Prediction change rate under attack,yes,Directly computable,clean predictions; attacked predictions,none for window-level prediction-change analysis,Measures how often adversarial perturbation changes model decisions.,Use to quantify attack instability alongside safety-proxy metrics.,Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
13,Current multiclass diagnostic metric,High-risk multiclass confusion pattern,partial,Computable if seven-class predictions are exported for each condition,true seven-class labels; predicted seven-class labels,event timing and clinical severity labels are not available,Shows whether fall is confused with clinically risky non-fall classes such as lie down or sit down.,"Use for Table 8 / Figure 6 as an error-taxonomy analysis, not clinical validation.",Report as window-level error taxonomy,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
14,Future event-level metric,Event-level fall detection rate,no,Requires additional metadata,fall-window labels only,fall event IDs or trial/event grouping,Measures whether each real fall event was detected at least once.,Use in future event-level dataset or collaboration.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
15,Future event-level metric,Event-level missed fall count,no,Requires additional metadata,fall-window labels only,event-level ground truth and event grouping,Measures missed fall events rather than missed fall windows.,Use in future event-level dataset or collaboration.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
16,Future timing metric,Detection latency / time-to-detection,no,Requires additional metadata,window-level labels and predictions,timestamps; fall onset time; fall impact time; model detection time,Measures how quickly the system detects a fall after it begins or occurs.,Use in future event-level safety analysis if timing metadata becomes available.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
17,Future timing metric,Delayed detection rate,no,Requires additional metadata and threshold,window-level labels and predictions,"timestamps; detection time; delay threshold such as 1, 5, 10, or 30 minutes",Measures how often falls are detected too late to meet a defined alert-time threshold.,Use in future clinical-safety translation work with a justified delay threshold.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
18,Future clinical-safety proxy,Long-lie risk proxy,no,Requires additional metadata and threshold,window-level labels and predictions,fall time; alert time; time-on-floor threshold; event-level grouping,Connects missed or delayed fall detection to delayed-rescue risk.,Use only with event-level timing data and carefully defined proxy assumptions.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
19,Future alarm-burden metric,False alarms per hour/day,no,Requires additional metadata,window-level FP count,recording duration or monitoring time,Converts false alarm count into caregiver-facing alarm burden over time.,Use in future dataset with monitoring duration.,Do not report yet; report FP count only for now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
20,Future generalization metric,Subject-level robustness,no,Requires additional metadata,window-level labels and predictions,subject IDs,Checks whether attack impact differs by participant.,Use in future subject-annotated dataset.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
21,Future generalization metric,Trial-level robustness,no,Requires additional metadata,window-level labels and predictions,trial IDs,Checks whether attack impact differs by trial or recording.,Use in future trial-annotated dataset.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
22,Future generalization metric,Cross-subject generalization,no,Requires additional metadata,window-level labels and predictions,subject split metadata,Checks whether results generalize across people rather than only across windows.,Use in future dataset with subject-aware train/test split.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
23,Future context metric,Room/session-level robustness,no,Requires additional metadata,window-level labels and predictions,room IDs; session IDs; recording IDs,Checks whether attack and defense behavior changes across rooms or sessions.,Use in future dataset with room/session annotations.,Do not report yet,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
